# grassland area with cliffs, water, and some buildings

img=tileset_grassland.png

# grass tiles (use in a 4x4 repeating grid for best results)
tile=16,0,0,128,64,64,32
tile=17,128,0,128,64,64,32
tile=18,256,0,128,64,64,32
tile=19,384,0,128,64,64,32
tile=20,512,0,128,64,64,32
tile=21,640,0,128,64,64,32
tile=22,768,0,128,64,64,32
tile=23,896,0,128,64,64,32
tile=24,1024,0,128,64,64,32
tile=25,1152,0,128,64,64,32
tile=26,1280,0,128,64,64,32
tile=27,1408,0,128,64,64,32
tile=28,1536,0,128,64,64,32
tile=29,1664,0,128,64,64,32
tile=30,1792,0,128,64,64,32
tile=31,1920,0,128,64,64,32

# old stonework path
tile=32,0,64,128,64,64,32
tile=33,128,64,128,64,64,32
tile=34,256,64,128,64,64,32
tile=35,384,64,128,64,64,32
tile=36,512,64,128,64,64,32
tile=37,640,64,128,64,64,32
tile=38,768,64,128,64,64,32
tile=39,896,64,128,64,64,32
tile=40,1024,64,128,64,64,32
tile=41,1152,64,128,64,64,32
tile=42,1280,64,128,64,64,32
tile=43,1408,64,128,64,64,32
tile=44,1536,64,128,64,64,32
tile=45,1664,64,128,64,64,32
tile=46,1792,64,128,64,64,32
tile=47,1920,64,128,64,64,32

# cliffs
tile=48,0,128,128,192,64,160
tile=49,128,128,128,192,64,160
tile=50,256,128,128,192,64,160
tile=51,384,128,128,192,64,160
tile=52,512,128,128,192,64,160
tile=53,640,128,128,192,64,160
tile=54,768,128,128,192,64,160
tile=55,896,128,128,192,64,160
tile=56,1024,128,128,192,64,160
tile=57,1152,128,128,192,64,160
tile=58,1280,128,128,192,64,160
tile=59,1408,128,128,192,64,160
tile=60,1536,128,128,192,64,160
tile=61,1664,128,128,192,64,160
tile=62,1792,128,128,192,64,160
tile=63,1920,128,128,192,64,160

# cliffs
tile=64,0,320,128,192,64,160
tile=65,128,320,128,192,64,160
tile=66,256,320,128,192,64,160
tile=67,384,320,128,192,64,160
tile=68,512,320,128,192,64,160
tile=69,640,320,128,192,64,160
tile=70,768,320,128,192,64,160
tile=71,896,320,128,192,64,160

# tents
tile=72,1024,320,128,192,64,160
tile=73,1152,320,128,192,64,160
tile=74,1280,320,128,192,64,160
tile=75,1408,320,128,192,64,160

# stash
tile=76,1536,320,128,128,64,96
tile=77,1664,320,128,128,64,96

# indicators
tile=92,1536,448,128,64,64,32
tile=93,1664,448,128,64,64,32
tile=94,1792,448,128,64,64,32
tile=95,1920,448,128,64,64,32

# town objects (e.g. containers)
tile=96,0,512,128,128,64,96
tile=97,128,512,128,128,64,96
tile=98,256,512,128,128,64,96
tile=99,384,512,128,128,64,96
tile=100,512,512,128,128,64,96
tile=101,640,512,128,128,64,96
tile=102,768,512,128,128,64,96
tile=103,896,512,128,128,64,96
tile=104,1024,512,128,128,64,96
tile=105,1152,512,128,128,64,96
tile=106,1280,512,128,128,64,96
